Tanggal,DKI Jakarta,Pasar Glodok,Pasar Senen Blok III - VI,Pasar Minggu,Pasar Kramat Jati,Pasar Sunter Podomoro
1-Jan-21,13926,13500,14000,14000,14000,14000
2-Jan-21,13915,13500,14000,14000,14000,14000
3-Jan-21,13915,13500,14000,14000,14000,14000
4-Jan-21,13894,13500,14000,14000,14000,13000
5-Jan-21,13936,13500,14000,14000,14000,14000
6-Jan-21,13947,13500,14000,14000,14000,14000
7-Jan-21,13915,13500,14000,14000,14000,13000
8-Jan-21,13926,13500,14000,14000,14000,14000
9-Jan-21,13915,13500,14000,14000,14000,14000
10-Jan-21,13915,13500,14000,14000,14000,14000
11-Jan-21,13894,13500,14000,14000,14000,13000
12-Jan-21,13915,13500,14000,14000,14000,14000
13-Jan-21,13872,13500,14000,14000,14000,14000
14-Jan-21,13851,13500,14000,14000,14000,13000
15-Jan-21,13883,13500,14000,14000,14000,14000
16-Jan-21,13883,13500,14000,14000,14000,14000
17-Jan-21,13649,13500,14000,14000,14000,14000
18-Jan-21,13872,13500,14000,14000,14000,13000
19-Jan-21,13872,13500,14000,14000,14000,13000
20-Jan-21,13851,13500,14000,14000,14000,13000
21-Jan-21,13894,13500,14000,14000,14000,13000
22-Jan-21,13915,13500,14000,14000,14000,14000
23-Jan-21,13894,13500,14000,14000,14000,14000
24-Jan-21,13851,13500,14000,14000,14000,13000
25-Jan-21,13915,13500,14000,14000,14000,14000
26-Jan-21,13883,13500,14000,14000,14000,14000
27-Jan-21,13819,13500,14000,14000,14000,14000
28-Jan-21,13862,13500,14000,14000,14000,13000
29-Jan-21,13872,13500,14000,14000,14000,14000
30-Jan-21,13851,13500,14000,14000,14000,14000
31-Jan-21,13851,13500,14000,14000,14000,14000
1-Feb-21,13872,13500,14000,14000,14000,13000
2-Feb-21,13872,13500,14000,14000,14000,14000
3-Feb-21,13840,13500,14000,14000,14000,13000
4-Feb-21,13862,13500,14000,14000,14000,13000
5-Feb-21,13872,13500,14000,14000,14000,13000
6-Feb-21,13894,13500,14000,14000,14000,14000
7-Feb-21,13894,13500,14000,14000,14000,14000
8-Feb-21,13883,13500,14000,14000,13500,14000
9-Feb-21,13883,13500,14000,14000,13500,14000
10-Feb-21,13851,13500,14000,14000,14000,13000
11-Feb-21,13840,13500,14000,14000,13500,14000
12-Feb-21,13862,13500,14000,14000,13500,14000
13-Feb-21,13862,13500,14000,14000,13500,14000
14-Feb-21,13862,13500,14000,14000,13500,14000
15-Feb-21,13840,13500,14000,14000,13500,13000
16-Feb-21,13883,13500,14000,14000,13500,14000
17-Feb-21,13904,13500,14000,14000,13500,14000
18-Feb-21,13883,13500,14000,14000,13500,14000
19-Feb-21,13872,13500,14000,14000,13500,13000
20-Feb-21,13872,13500,14000,14000,13500,13000
21-Feb-21,13872,13500,14000,14000,13500,13000
22-Feb-21,13883,13500,14000,14000,13500,14000
23-Feb-21,13883,13500,14000,14000,13500,14000
24-Feb-21,13872,13500,14000,14000,13500,14000
25-Feb-21,13883,13500,14000,14000,13500,14000
26-Feb-21,13883,13500,14000,14000,13500,14000
27-Feb-21,13883,13500,14000,14000,13500,14000
28-Feb-21,13883,13500,14000,14000,13500,14000
1-Mar-21,13872,13500,14000,14000,13500,14000
2-Mar-21,13872,13500,14000,14000,13500,14000
3-Mar-21,13851,13500,14000,14000,13500,14000
4-Mar-21,13872,13500,14000,14000,13500,14000
5-Mar-21,13851,13500,14000,14000,13500,13000
6-Mar-21,13872,13500,14000,14000,13500,14000
7-Mar-21,13883,13500,14000,14000,13500,14000
8-Mar-21,13862,13500,14000,14000,13500,14000
9-Mar-21,13872,13500,14000,14000,13500,14000
10-Mar-21,13851,13500,14000,14000,13500,14000
11-Mar-21,13851,13500,14000,14000,13500,14000
12-Mar-21,13851,13500,14000,14000,13500,14000
13-Mar-21,13851,13500,14000,14000,13500,14000
14-Mar-21,13840,13500,14000,14000,13000,14000
15-Mar-21,13819,13500,14000,14000,13000,13000
16-Mar-21,13840,13500,14000,14000,13000,14000
17-Mar-21,13819,13500,14000,14000,13000,13000
